Date,Inflation,,
2019-01-31,1.6,,
2019-02-28,1.5,,
2019-03-31,1.9,,
2019-04-30,2,,
2019-05-31,1.8,,
2019-06-30,1.6,,
2019-07-31,1.8,,
2019-08-31,1.7,,
2019-09-30,1.7,,
2019-10-31,1.8,,
2019-11-30,2.1,,
2019-12-31,2.3,,
2020-01-31,2.5,,
2020-02-28,2.3,,
2020-03-31,1.5,,
2020-04-30,0.3,,
2020-05-31,0.1,,
2020-06-30,0.6,,
2020-07-31,1,,
2020-08-31,1.3,,
2020-09-30,1.4,,
2020-10-31,1.2,,
2020-11-30,1.2,,
2020-12-31,1.4,,
2021-01-31,1.4,,
2021-02-28,1.7,,
2021-03-31,2.6,,
2021-04-30,4.2,,
2021-05-31,5,,
2021-06-30,5.4,,
2021-07-31,5.4,,
2021-08-31,5.3,,
2021-09-30,5.4,,
2021-10-31,6.2,,
2021-11-30,6.8,,
2021-12-31,7,,
2022-01-31,7.5,,
2022-02-28,7.9,,
2022-03-31,8.5,,
2022-04-30,8.3,,
2022-05-31,8.6,,
2022-06-30,9.1,,
2022-07-31,8.5,,
2022-08-31,8.3,,
2022-09-30,8.2,,
2022-10-31,7.7,,
2022-11-30,7.1,,
2022-12-31,6.5,,
2023-01-31,6.4,,
2023-02-28,6,,
2023-03-31,5,,
2023-04-30,4.9,,
2023-05-31,4,,
2023-06-30,3,,
2023-07-31,3.2,,
2023-08-31,3.7,,
